chr1,start,end,TE_id,UniqPathogens,TE_location,class,family,feature,chr2,gene_start,gene_end,gene_width,strand,gene_info,distance,gene_name
chr2,191014545,191015588,L2b_c2655951,5,L2b_chr2:191014546,LINE,L2,intergenic,chr2,190908459,191014231,105772,-,ENSG00000115415.21,315,STAT1
chr2,191697792,191698241,Tigger3_c2657231,6,Tigger3_chr2:191697793,DNA,TcMar-Tigger,intergenic,chr2,191678135,191696662,18527,+,ENSG00000173559.15,1131,NABP1
chr2,191698249,191698956,L1MC5a_c2657232,5,L1MC5a_chr2:191698250,LINE,L1,intergenic,chr2,191678135,191696662,18527,+,ENSG00000173559.15,1588,NABP1
chr2,191700102,191700867,L1MC5a_c2657234,7,L1MC5a_chr2:191700103,LINE,L1,intergenic,chr2,191678135,191696662,18527,+,ENSG00000173559.15,3441,NABP1
chr2,191700880,191701295,L1MCa_c2657235,5,L1MCa_chr2:191700881,LINE,L1,intergenic,chr2,191678135,191696662,18527,+,ENSG00000173559.15,4219,NABP1
chr2,191701295,191701672,Tigger1_c2657236,6,Tigger1_chr2:191701296,DNA,TcMar-Tigger,intergenic,chr2,191678135,191696662,18527,+,ENSG00000173559.15,4634,NABP1
chr2,191715752,191716193,MLT1K_c2657260,5,MLT1K_chr2:191715753,LTR,ERVL-MaLR,intergenic,chr2,191733427,191741097,7670,+,ENSG00000288582.2,17235,ENSG00000288582
chr2,192541941,192542927,LTR5_Hs_c2658543,5,LTR5_Hs_chr2:192541942,LTR,ERVK,intergenic,chr2,192629918,192645706,15788,+,ENSG00000229395.1,86992,ENSG00000229395
chr2,195567221,195569191,SVA_F_c2663238,5,SVA_F_chr2:195567222,Retroposon,SVA,intergenic,chr2,195569627,195572970,3343,-,ENSG00000234919.1,437,LINC01827
chr2,198783984,198784445,L1PA7_c2669085,5,L1PA7_chr2:198783985,LINE,L1,intergenic,chr2,198493241,198772356,279115,-,ENSG00000225421.2,11629,ENSG00000225421
chr2,201115393,201115711,AluJb_c2673457,5,AluJb_chr2:201115394,SINE,Alu,intergenic,chr2,201116153,201176687,60534,+,ENSG00000003402.21,443,CFLAR
chr2,211219320,211225344,L1PA2_c2692533,5,L1PA2_chr2:211219321,LINE,L1,intergenic,chr2,211298940,211299189,249,-,ENSG00000231017.1,73597,RPS27P10
chr2,230404882,230406889,ERV3-16A3_I-int_c2728308,5,ERV3-16A3_I-int_chr2:230404883,LTR,ERVL,intergenic,chr2,230327183,230403732,76549,+,ENSG00000185404.17,1151,SP140L
chr2,231408345,231408843,LTR2C_c2730405,5,LTR2C_chr2:231408346,LTR,ERV1,intergenic,chr2,231395709,231401164,5455,+,ENSG00000156966.7,7182,B3GNT7
chr2,231921217,231921508,AluSx1_c2731953,5,AluSx1_chr2:231921218,SINE,Alu,intergenic,chr2,231921808,231926396,4588,-,ENSG00000163273.4,301,NPPC
chr3,39139838,39140083,MER113A_c3101913,8,MER113A_chr3:39139839,DNA,hAT-Charlie,intergenic,chr3,39107679,39138900,31221,+,ENSG00000168026.19,939,TTC21A
chr3,39140907,39141113,MIR_c3101914,6,MIR_chr3:39140908,SINE,MIR,intergenic,chr3,39141854,39154562,12708,-,ENSG00000144655.15,742,CSRNP1
chr3,82583834,82585707,SVA_D_c3185327,5,SVA_D_chr3:82583835,Retroposon,SVA,intergenic,chr3,81986137,82463675,477538,+,ENSG00000239440.6,120160,LINC02008
chr3,90005019,90005291,AluYg6_c3196626,5,AluYg6_chr3:90005020,SINE,Alu,intergenic,chr3,90030283,90030495,212,+,ENSG00000212598.2,24993,U3
chr3,99318605,99318913,AluY_c3205870,7,AluY_chr3:99318606,SINE,Alu,intergenic,chr3,99326376,99326552,176,-,ENSG00000240572.1,7464,ENSG00000240572
chr3,99448909,99449723,L1PB1_c3206102,7,L1PB1_chr3:99448910,LINE,L1,intergenic,chr3,99500346,99505508,5162,+,ENSG00000243296.1,50624,ENSG00000243296
chr3,99449881,99450738,L1M1_c3206104,6,L1M1_chr3:99449882,LINE,L1,intergenic,chr3,99500346,99505508,5162,+,ENSG00000243296.1,49609,ENSG00000243296
chr3,99450736,99456202,L1PA4_c3206105,7,L1PA4_chr3:99450737,LINE,L1,intergenic,chr3,99500346,99505508,5162,+,ENSG00000243296.1,44145,ENSG00000243296
chr3,99456199,99457174,L1M1_c3206106,5,L1M1_chr3:99456200,LINE,L1,intergenic,chr3,99500346,99505508,5162,+,ENSG00000243296.1,43173,ENSG00000243296
chr3,99457167,99458448,L1M1_c3206107,7,L1M1_chr3:99457168,LINE,L1,intergenic,chr3,99500346,99505508,5162,+,ENSG00000243296.1,41899,ENSG00000243296
chr3,99510488,99511373,L1ME1_c3206198,6,L1ME1_chr3:99510489,LINE,L1,intergenic,chr3,99500346,99505508,5162,+,ENSG00000243296.1,4981,ENSG00000243296
chr3,99511423,99512977,L3_c3206199,7,L3_chr3:99511424,LINE,CR1,intergenic,chr3,99500346,99505508,5162,+,ENSG00000243296.1,5916,ENSG00000243296
chr3,105355047,105355100,L2b_c3216011,5,L2b_chr3:105355048,LINE,L2,intergenic,chr3,105366908,105576900,209992,+,ENSG00000170017.12,11809,ALCAM
chr3,105355428,105356112,L2b_c3216013,5,L2b_chr3:105355429,LINE,L2,intergenic,chr3,105366908,105576900,209992,+,ENSG00000170017.12,10797,ALCAM
chr3,105361250,105361629,L2a_c3216022,6,L2a_chr3:105361251,LINE,L2,intergenic,chr3,105366908,105576900,209992,+,ENSG00000170017.12,5280,ALCAM
chr3,105364271,105364505,MIR_c3216024,6,MIR_chr3:105364272,SINE,MIR,intergenic,chr3,105366908,105576900,209992,+,ENSG00000170017.12,2404,ALCAM
chr3,105364863,105365049,MIRb_c3216027,5,MIRb_chr3:105364864,SINE,MIR,intergenic,chr3,105366908,105576900,209992,+,ENSG00000170017.12,1860,ALCAM
chr3,108092303,108092495,L2d_c3220562,7,L2d_chr3:108092304,LINE,L2,intergenic,chr3,108043090,108091031,47941,-,ENSG00000196776.17,1273,CD47
chr3,119563180,119569317,L1PA5_c3240190,5,L1PA5_chr3:119563181,LINE,L1,intergenic,chr3,119524292,119559614,35322,-,ENSG00000121594.12,3567,CD80
chr3,122732871,122739022,L1PA4_c3246176,8,L1PA4_chr3:122732872,LINE,L1,intergenic,chr3,122739998,122793831,53833,-,ENSG00000169087.11,977,HSPBAP1
chr3,127411652,127412622,LTR5_Hs_c3255199,5,LTR5_Hs_chr3:127411653,LTR,ERVK,intergenic,chr3,127322306,127390670,68364,-,ENSG00000244215.2,20983,LINC02016
chr3,142290203,142296232,L1PA3_c3284527,5,L1PA3_chr3:142290204,LINE,L1,intergenic,chr3,142306606,142448062,141456,-,ENSG00000114127.11,10375,XRN1
chr3,143073722,143074388,SVA_C_c3286069,7,SVA_C_chr3:143073723,Retroposon,SVA,intergenic,chr3,143001569,143060725,59156,+,ENSG00000163714.18,12998,U2SURP
chr3,146507240,146507355,LTR24C_c3291699,5,LTR24C_chr3:146507241,LTR,ERV1,intergenic,chr3,146504569,146506560,1991,-,ENSG00000279320.1,681,ENSG00000279320
chr3,146507602,146508095,MLT1A-int_c3291701,7,MLT1A-int_chr3:146507603,LTR,ERVL-MaLR,intergenic,chr3,146504569,146506560,1991,-,ENSG00000279320.1,1043,ENSG00000279320
chr3,146508727,146508952,L1MC4_c3291704,5,L1MC4_chr3:146508728,LINE,L1,intergenic,chr3,146504569,146506560,1991,-,ENSG00000279320.1,2168,ENSG00000279320
chr3,146509164,146509881,Tigger13a_c3291706,6,Tigger13a_chr3:146509165,DNA,TcMar-Tigger,intergenic,chr3,146504569,146506560,1991,-,ENSG00000279320.1,2605,ENSG00000279320
chr3,146510396,146510696,L2b_c3291708,7,L2b_chr3:146510397,LINE,L2,intergenic,chr3,146504569,146506560,1991,-,ENSG00000279320.1,3837,ENSG00000279320
chr3,146510937,146511304,MLT1A1_c3291709,6,MLT1A1_chr3:146510938,LTR,ERVL-MaLR,intergenic,chr3,146515179,146544737,29558,-,ENSG00000188313.13,3876,PLSCR1
chr3,146511857,146512152,AluSq2_c3291710,7,AluSq2_chr3:146511858,SINE,Alu,intergenic,chr3,146515179,146544737,29558,-,ENSG00000188313.13,3028,PLSCR1
chr3,146512519,146512678,MIRb_c3291712,5,MIRb_chr3:146512520,SINE,MIR,intergenic,chr3,146515179,146544737,29558,-,ENSG00000188313.13,2502,PLSCR1
chr3,146514252,146515103,LTR1D_c3291715,5,LTR1D_chr3:146514253,LTR,ERV1,intergenic,chr3,146515179,146544737,29558,-,ENSG00000188313.13,77,PLSCR1
chr3,172401791,172402423,HAL1_c3336061,6,HAL1_chr3:172401792,LINE,L1,intergenic,chr3,172039577,172401669,362092,+,ENSG00000075420.13,123,FNDC3B
chr3,172402998,172403348,HAL1_c3336064,5,HAL1_chr3:172402999,LINE,L1,intergenic,chr3,172039577,172401669,362092,+,ENSG00000075420.13,1330,FNDC3B
chr3,172403681,172403762,L2a_c3336065,5,L2a_chr3:172403682,LINE,L2,intergenic,chr3,172039577,172401669,362092,+,ENSG00000075420.13,2013,FNDC3B
chr3,172404137,172404945,L1M4_c3336067,6,L1M4_chr3:172404138,LINE,L1,intergenic,chr3,172039577,172401669,362092,+,ENSG00000075420.13,2469,FNDC3B
chr3,177908607,177914071,L1P2_c3345843,5,L1P2_chr3:177908608,LINE,L1,intergenic,chr3,177816864,177899224,82360,+,ENSG00000231574.7,9384,LINC02015
chr3,185984883,185985360,L1ME4a_c3362405,5,L1ME4a_chr3:185984884,LINE,L1,intergenic,chr3,185959942,185980872,20930,+,ENSG00000290862.1,4012,NMRAL2P
chr3,193237748,193238055,AluYk11_c3376496,7,AluYk11_chr3:193237749,SINE,Alu,intergenic,chr3,193241127,193270855,29728,+,ENSG00000127252.7,3073,PLAAT1
chr3,194573522,194574000,MamGypLTR3_c3379189,8,MamGypLTR3_chr3:194573523,LTR,Gypsy,intergenic,chr3,194562977,194564001,1024,-,ENSG00000232873.1,9522,RPL23AP93
chr3,194574030,194574232,MIR_c3379190,5,MIR_chr3:194574031,SINE,MIR,intergenic,chr3,194583990,194590260,6270,+,ENSG00000231770.8,9759,TMEM44-AS1
chr3,194574750,194574944,MamGypLTR3_c3379194,5,MamGypLTR3_chr3:194574751,LTR,Gypsy,intergenic,chr3,194583990,194590260,6270,+,ENSG00000231770.8,9047,TMEM44-AS1
chr3,194574945,194575069,MER5A_c3379195,5,MER5A_chr3:194574946,DNA,hAT-Charlie,intergenic,chr3,194583990,194590260,6270,+,ENSG00000231770.8,8922,TMEM44-AS1
chr4,8359091,8359801,MER41-int_c3403793,5,MER41-int_chr4:8359092,LTR,ERV1,intergenic,chr4,8355089,8358338,3249,-,ENSG00000251615.3,754,ENSG00000251615
chr4,17201138,17201443,AluYk11_c3420702,5,AluYk11_chr4:17201139,SINE,Alu,intergenic,chr4,17171756,17186059,14303,-,ENSG00000250819.2,15080,LINC02493
chr4,54774077,54774390,AluYk11_c3486851,7,AluYk11_chr4:54774078,SINE,Alu,intergenic,chr4,54657266,54740783,83517,+,ENSG00000157404.17,33295,KIT
chr4,64900179,64900840,SVA_D_c3503900,5,SVA_D_chr4:64900180,Retroposon,SVA,intergenic,chr4,64914280,65024485,110205,-,ENSG00000250125.5,13441,LINC02232
chr4,73706164,73706285,L2a_c3518213,5,L2a_chr4:73706165,LINE,L2,intergenic,chr4,73706322,73709526,3204,-,ENSG00000289530.1,38,ENSG00000289530
chr4,73720899,73721266,THE1B_c3518247,5,THE1B_chr4:73720900,LTR,ERVL-MaLR,intergenic,chr4,73710301,73714527,4226,+,ENSG00000228277.1,6373,UMLILO
chr4,73744111,73744456,L1MEd_c3518289,10,L1MEd_chr4:73744112,LINE,L1,intergenic,chr4,73740540,73743716,3176,+,ENSG00000169429.12,396,CXCL8
chr4,73744606,73746757,L1PA3_c3518290,11,L1PA3_chr4:73744607,LINE,L1,intergenic,chr4,73740540,73743716,3176,+,ENSG00000169429.12,891,CXCL8
chr4,73834191,73836326,L1PA3_c3518416,9,L1PA3_chr4:73834192,LINE,L1,intergenic,chr4,73836639,73838760,2121,+,ENSG00000124875.10,314,CXCL6
chr4,74096174,74096724,MER41B_c3518800,6,MER41B_chr4:74096175,LTR,ERV1,intergenic,chr4,74097039,74099195,2156,-,ENSG00000081041.9,316,CXCL2
chr4,80082034,80082377,MLT1A0_c3529465,6,MLT1A0_chr4:80082035,LTR,ERVL-MaLR,intergenic,chr4,80079531,80081122,1591,+,ENSG00000236530.2,913,KPNA2P1
chr4,80082552,80083057,MER44B_c3529467,5,MER44B_chr4:80082553,DNA,TcMar-Tigger,intergenic,chr4,80079531,80081122,1591,+,ENSG00000236530.2,1431,KPNA2P1
chr4,80083848,80084202,MLT1A1_c3529473,5,MLT1A1_chr4:80083849,LTR,ERVL-MaLR,intergenic,chr4,80079531,80081122,1591,+,ENSG00000236530.2,2727,KPNA2P1
chr4,80084202,80084768,L1MD2_c3529474,5,L1MD2_chr4:80084203,LINE,L1,intergenic,chr4,80079531,80081122,1591,+,ENSG00000236530.2,3081,KPNA2P1
chr4,83180501,83181010,LTR21A_c3535136,5,LTR21A_chr4:83180502,LTR,ERV1,intergenic,chr4,83090047,83137075,47028,-,ENSG00000145287.11,43427,PLAC8
chr4,83181444,83183380,SVA_D_c3535137,5,SVA_D_chr4:83181445,Retroposon,SVA,intergenic,chr4,83090047,83137075,47028,-,ENSG00000145287.11,44370,PLAC8
chr4,83187318,83187628,AluSz_c3535142,5,AluSz_chr4:83187319,SINE,Alu,intergenic,chr4,83233511,83247213,13702,-,ENSG00000250057.1,45884,ENSG00000250057
chr4,88378538,88378735,MIR_c3544933,5,MIR_chr4:88378539,SINE,MIR,intergenic,chr4,88378738,88443097,64359,+,ENSG00000138642.16,4,HERC6
chr4,88444277,88446112,HERV4_I-int_c3545094,6,HERV4_I-int_chr4:88444278,LTR,ERV1,intergenic,chr4,88378738,88443097,64359,+,ENSG00000138642.16,1181,HERC6
chr4,102240613,102244869,HERV9NC-int_c3567589,5,HERV9NC-int_chr4:102240614,LTR,ERV1,intergenic,chr4,102261665,102345801,84136,-,ENSG00000138821.14,16797,SLC39A8
chr4,102249379,102250851,LTR12C_c3567597,7,LTR12C_chr4:102249380,LTR,ERV1,intergenic,chr4,102261665,102345801,84136,-,ENSG00000138821.14,10815,SLC39A8
chr4,102251474,102251990,MER34_c3567599,6,MER34_chr4:102251475,LTR,ERV1,intergenic,chr4,102261665,102345801,84136,-,ENSG00000138821.14,9676,SLC39A8
chr4,102253205,102253364,MLT1L_c3567602,6,MLT1L_chr4:102253206,LTR,ERVL-MaLR,intergenic,chr4,102261665,102345801,84136,-,ENSG00000138821.14,8302,SLC39A8
chr4,102260257,102260612,MLT1J_c3567616,5,MLT1J_chr4:102260258,LTR,ERVL-MaLR,intergenic,chr4,102261665,102345801,84136,-,ENSG00000138821.14,1054,SLC39A8
chr4,102373765,102374743,L1PA8_c3567819,5,L1PA8_chr4:102373766,LINE,L1,intergenic,chr4,102348391,102348691,300,-,ENSG00000241144.3,25075,RN7SL728P
chr4,102374729,102380899,L1PA4_c3567820,5,L1PA4_chr4:102374730,LINE,L1,intergenic,chr4,102348391,102348691,300,-,ENSG00000241144.3,26039,RN7SL728P
chr4,102381695,102384773,L1PA8_c3567824,5,L1PA8_chr4:102381696,LINE,L1,intergenic,chr4,102348391,102348691,300,-,ENSG00000241144.3,33005,RN7SL728P
chr4,121123366,121123920,L1PA5_c3598610,6,L1PA5_chr4:121123367,LINE,L1,intergenic,chr4,121118298,121118734,436,+,ENSG00000271302.1,4633,ENSG00000271302
chr4,121128015,121129401,L1PA3_c3598616,8,L1PA3_chr4:121128016,LINE,L1,intergenic,chr4,121131407,121227466,96059,-,ENSG00000050730.16,2007,TNIP3
chr4,121129708,121129822,MIRc_c3598617,9,MIRc_chr4:121129709,SINE,MIR,intergenic,chr4,121131407,121227466,96059,-,ENSG00000050730.16,1586,TNIP3
chr4,139046012,139046135,AluJo_c3627347,7,AluJo_chr4:139046013,SINE,Alu,intergenic,chr4,139015780,139045939,30159,+,ENSG00000151014.6,74,NOCT
chr4,139046568,139046874,AluY_c3627348,8,AluY_chr4:139046569,SINE,Alu,intergenic,chr4,139015780,139045939,30159,+,ENSG00000151014.6,630,NOCT
chr4,139047216,139047506,AluSq2_c3627349,8,AluSq2_chr4:139047217,SINE,Alu,intergenic,chr4,139015780,139045939,30159,+,ENSG00000151014.6,1278,NOCT
chr4,141632509,141633065,MLT2A2_c3632396,5,MLT2A2_chr4:141632510,LTR,ERVL,intergenic,chr4,141636582,141733987,97405,+,ENSG00000164136.17,3518,IL15
chr4,141634817,141635153,Charlie17b_c3632398,6,Charlie17b_chr4:141634818,DNA,hAT-Charlie,intergenic,chr4,141636582,141733987,97405,+,ENSG00000164136.17,1430,IL15
chr4,146233064,146233363,AluYk11_c3640002,7,AluYk11_chr4:146233065,SINE,Alu,intergenic,chr4,146214514,146232267,17753,+,ENSG00000250673.3,798,REELD1
chr4,153708530,153709135,MER61F_c3653421,5,MER61F_chr4:153708531,LTR,ERV1,intergenic,chr4,153710159,153760024,49865,-,ENSG00000145428.15,1025,RNF175
chr4,160658785,160659753,LTR5_Hs_c3664917,5,LTR5_Hs_chr4:160658786,LTR,ERVK,intergenic,chr4,160539253,160586817,47564,+,ENSG00000249425.1,71969,LINC02477
chr4,168323150,168325186,LTR53-int_c3677690,5,LTR53-int_chr4:168323151,LTR,ERVL,intergenic,chr4,168216293,168318807,102514,-,ENSG00000137628.18,4344,DDX60
chr4,168330166,168331809,L1PA8_c3677699,5,L1PA8_chr4:168330167,LINE,L1,intergenic,chr4,168216293,168318807,102514,-,ENSG00000137628.18,11360,DDX60
chr4,168351745,168354157,L1PA14_c3677725,5,L1PA14_chr4:168351746,LINE,L1,intergenic,chr4,168356734,168480514,123780,-,ENSG00000181381.15,2578,DDX60L
chr4,184265538,184266558,L1M6_c3704184,5,L1M6_chr4:184265539,LINE,L1,intergenic,chr4,184254508,184255330,822,+,ENSG00000240159.1,10209,RPL6P16
chr4,184312317,184312959,MER4B_c3704283,6,MER4B_chr4:184312318,LTR,ERV1,intergenic,chr4,184299128,184299640,512,-,ENSG00000227765.4,12678,MYL12BP2
chr4,184362998,184363520,MLT1G_c3704396,5,MLT1G_chr4:184362999,LTR,ERVL-MaLR,intergenic,chr4,184365179,184382416,17237,-,ENSG00000249096.7,1660,LINC02362
chr4,184735703,184741033,HERV9NC-int_c3705186,5,HERV9NC-int_chr4:184735704,LTR,ERV1,intergenic,chr4,184694084,184734096,40012,-,ENSG00000151725.12,1608,CENPU
chr4,184750756,184751968,L2a_c3705207,5,L2a_chr4:184750757,LINE,L2,intergenic,chr4,184755594,184826818,71224,-,ENSG00000151726.16,3627,ACSL1
chr4,184753405,184754330,L1MB3_c3705211,5,L1MB3_chr4:184753406,LINE,L1,intergenic,chr4,184755594,184826818,71224,-,ENSG00000151726.16,1265,ACSL1
chr4,184855808,184856120,AluSx1_c3705396,5,AluSx1_chr4:184855809,SINE,Alu,intergenic,chr4,184843295,184855751,12456,-,ENSG00000251230.7,58,MIR3945HG
chr5,10523969,10524273,AluYg6_c3729459,10,AluYg6_chr5:10523970,SINE,Alu,intergenic,chr5,10504995,10522084,17089,-,ENSG00000249160.4,1886,LINC02213
chr5,12151425,12151733,AluYk11_c3731987,5,AluYk11_chr5:12151426,SINE,Alu,intergenic,chr5,12297398,12297504,106,-,ENSG00000212305.1,145666,RNU6-679P
chr5,34528524,34528981,MLT1C_c3770091,5,MLT1C_chr5:34528525,LTR,ERVL-MaLR,intergenic,chr5,34651456,34651888,432,-,ENSG00000271874.1,122476,RAI14-DT
chr5,35494184,35500399,L1PA3_c3771926,6,L1PA3_chr5:35494185,LINE,L1,intergenic,chr5,35429063,35429277,214,+,ENSG00000201368.2,64908,U3
chr5,35856057,35856158,L2a_c3772559,6,L2a_chr5:35856058,LINE,L2,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,733,IL7R
chr5,35879677,35879765,MER1B_c3772592,6,MER1B_chr5:35879678,DNA,hAT-Charlie,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,75,IL7R
chr5,35880454,35880751,MLT1E1A_c3772597,6,MLT1E1A_chr5:35880455,LTR,ERVL-MaLR,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,852,IL7R
chr5,35881064,35881308,MLT1E1A_c3772599,5,MLT1E1A_chr5:35881065,LTR,ERVL-MaLR,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,1462,IL7R
chr5,35881412,35881874,MLT1C_c3772600,7,MLT1C_chr5:35881413,LTR,ERVL-MaLR,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,1810,IL7R
chr5,35882578,35882828,L2a_c3772601,5,L2a_chr5:35882579,LINE,L2,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,2976,IL7R
chr5,35883101,35883217,L2c_c3772602,5,L2c_chr5:35883102,LINE,L2,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,3499,IL7R
chr5,35883227,35883609,MSTA_c3772603,7,MSTA_chr5:35883228,LTR,ERVL-MaLR,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,3625,IL7R
chr5,35883634,35884133,MLT1D_c3772604,7,MLT1D_chr5:35883635,LTR,ERVL-MaLR,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,4032,IL7R
chr5,35884188,35884494,L2c_c3772605,7,L2c_chr5:35884189,LINE,L2,intergenic,chr5,35856890,35879603,22713,+,ENSG00000168685.15,4586,IL7R
chr5,39802794,39803073,AluYk3_c3780045,5,AluYk3_chr5:39802795,SINE,Alu,intergenic,chr5,39718983,39721513,2530,-,ENSG00000250492.1,81282,INTS6P1
chr5,56371905,56373492,SVA_D_c3800784,5,SVA_D_chr5:56371906,Retroposon,SVA,intergenic,chr5,56381780,56382075,295,+,ENSG00000250787.1,8289,HMGN1P17
chr5,58378196,58378499,AluYk11_c3804485,8,AluYk11_chr5:58378197,SINE,Alu,intergenic,chr5,58453981,58460139,6158,-,ENSG00000145632.15,75483,PLK2
chr5,60719852,60722829,L1PA15_c3808326,5,L1PA15_chr5:60719853,LINE,L1,intergenic,chr5,60699728,60702010,2282,+,ENSG00000287434.1,17843,ENSG00000287434
chr5,60735298,60737247,L1PBa_c3808348,5,L1PBa_chr5:60735299,LINE,L1,intergenic,chr5,60743562,60744970,1408,-,ENSG00000250148.1,6316,KRT8P31
chr5,60738313,60741500,L1M1_c3808353,5,L1M1_chr5:60738314,LINE,L1,intergenic,chr5,60743562,60744970,1408,-,ENSG00000250148.1,2063,KRT8P31
chr5,60745052,60746192,L1PREC2_c3808360,5,L1PREC2_chr5:60745053,LINE,L1,intergenic,chr5,60743562,60744970,1408,-,ENSG00000250148.1,83,KRT8P31
chr5,66256816,66263007,L1PA3_c3818198,5,L1PA3_chr5:66256817,LINE,L1,intergenic,chr5,66298396,66393521,95125,+,ENSG00000251391.5,35390,ENSG00000251391
chr5,115690555,115691263,SVA_D_c3901970,5,SVA_D_chr5:115690556,Retroposon,SVA,intergenic,chr5,115691461,115692167,706,-,ENSG00000249021.1,199,ENSG00000249021
chr5,123311661,123311971,AluSz_c3914404,6,AluSz_chr5:123311662,SINE,Alu,intergenic,chr5,123344891,123423592,78701,-,ENSG00000168944.17,32921,CEP120
chr5,140726263,140726386,L1MC3_c3946349,5,L1MC3_chr5:140726264,LINE,L1,intergenic,chr5,140726157,140726246,89,+,ENSG00000202515.1,18,VTRNA1-3
chr5,147832344,147832848,LTR40a_c3960500,5,LTR40a_chr5:147832345,LTR,ERVL,intergenic,chr5,147824581,147831671,7090,-,ENSG00000164266.11,674,SPINK1
chr5,147832848,147833350,L2a_c3960501,5,L2a_chr5:147832849,LINE,L2,intergenic,chr5,147824581,147831671,7090,-,ENSG00000164266.11,1178,SPINK1
chr5,147833354,147833924,L2a_c3960502,5,L2a_chr5:147833355,LINE,L2,intergenic,chr5,147824581,147831671,7090,-,ENSG00000164266.11,1684,SPINK1
chr5,147839014,147839391,THE1C_c3960517,6,THE1C_chr5:147839015,LTR,ERVL-MaLR,intergenic,chr5,147824581,147831671,7090,-,ENSG00000164266.11,7344,SPINK1
chr5,150401102,150401489,Charlie8_c3966300,5,Charlie8_chr5:150401103,DNA,hAT-Charlie,intergenic,chr5,150401636,150412910,11274,-,ENSG00000019582.17,148,CD74
chr5,150778285,150778464,MIRb_c3967284,6,MIRb_chr5:150778286,SINE,MIR,intergenic,chr5,150778756,150796734,17978,+,ENSG00000256235.3,293,SMIM3
chr5,150955720,150957067,L1MDa_c3967587,5,L1MDa_chr5:150955721,LINE,L1,intergenic,chr5,150950108,150952460,2352,-,ENSG00000274235.1,3261,ENSG00000274235
chr5,150961393,150964107,MER4-int_c3967602,5,MER4-int_chr5:150961394,LTR,ERV1,intergenic,chr5,150950108,150952460,2352,-,ENSG00000274235.1,8934,ENSG00000274235
chr5,150985403,150985898,LTR46_c3967636,5,LTR46_chr5:150985404,LTR,ERV1,intergenic,chr5,150978418,150979175,757,+,ENSG00000277866.1,6229,ENSG00000277866
chr5,150986892,150990479,LTR46-int_c3967639,5,LTR46-int_chr5:150986893,LTR,ERV1,intergenic,chr5,150978418,150979175,757,+,ENSG00000277866.1,7718,ENSG00000277866
chr5,150993361,150993690,LTR46_c3967645,5,LTR46_chr5:150993362,LTR,ERV1,intergenic,chr5,150978418,150979175,757,+,ENSG00000277866.1,14187,ENSG00000277866
chr5,151003397,151004008,L2b_c3967669,5,L2b_chr5:151003398,LINE,L2,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,16583,GPX3
chr5,151005650,151005821,MIRb_c3967674,5,MIRb_chr5:151005651,SINE,MIR,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,14770,GPX3
chr5,151007846,151008041,MIRb_c3967680,5,MIRb_chr5:151007847,SINE,MIR,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,12550,GPX3
chr5,151009519,151009747,MIRc_c3967683,5,MIRc_chr5:151009520,SINE,MIR,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,10844,GPX3
chr5,151011620,151012083,L2c_c3967690,5,L2c_chr5:151011621,LINE,L2,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,8508,GPX3
chr5,151014807,151015352,MER68_c3967699,7,MER68_chr5:151014808,LTR,ERVL,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,5239,GPX3
chr5,151015423,151015551,MER33_c3967700,5,MER33_chr5:151015424,DNA,hAT-Charlie,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,5040,GPX3
chr5,151016042,151016486,LTR47A_c3967704,6,LTR47A_chr5:151016043,LTR,ERVL,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,4105,GPX3
chr5,151016486,151016687,MIR_c3967705,6,MIR_chr5:151016487,SINE,MIR,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,3904,GPX3
chr5,151016693,151016767,MIR3_c3967706,5,MIR3_chr5:151016694,SINE,MIR,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,3824,GPX3
chr5,151017209,151017355,L3_c3967707,6,L3_chr5:151017210,LINE,CR1,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,3236,GPX3
chr5,151017537,151018010,L2b_c3967708,6,L2b_chr5:151017538,LINE,L2,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,2581,GPX3
chr5,151018467,151018563,MER96_c3967709,6,MER96_chr5:151018468,DNA,hAT-Tip100,intergenic,chr5,151020590,151028988,8398,+,ENSG00000211445.13,2028,GPX3
