"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","29/1035","103/9434",1.10438169875429e-06,8.94279814601035e-06,6.0960735618016e-06,"LAMA3/LAMC2/ACTN1/CXCL2/LAMB1/PLCB4/NFKB1/IFNG/IL12B/IL1R1/IL1B/LAMA5/COL4A2/IL6/IL10/TLR2/CXCL3/CXCL1/CASP3/CSF2/IL12A/CXCL8/SERPINB9/RELA/LAMA2/LAMB3/SERPINB4/TNF/SERPINB10",29
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","26/1035","90/9434",2.32125749157931e-06,1.82467954717589e-05,1.24383672366144e-05,"MAP2K3/JAK2/NFKBIA/NFKBIB/NFKB1/IFNG/STAT1/AKT3/CD274/PPP3CC/BATF3/TICAM1/TLR2/EGF/NFKBIE/BATF/IFNGR2/JAK1/BATF2/STAT3/RASGRP1/MYD88/RELA/JUN/MAPK11/TICAM2",26
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","28/1035","101/9434",2.36328977495673e-06,1.82467954717589e-05,1.24383672366144e-05,"EDN1/ICAM1/JAK2/PLCB4/SERPINE1/CCL2/NFKB1/MAPK10/VEGFA/IL1A/STAT1/AKT3/F3/EGR1/IL1B/STAT5A/COL4A2/IL6/PIM1/CASP3/STAT3/CXCL8/PRKCE/BCL2/RELA/JUN/MAPK11/TNF",28
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","45/1035","204/9434",2.98052323022316e-06,2.24894025553202e-05,1.53304424521047e-05,"PLAUR/FAS/CD44/ANK1/CAMK2A/ITPR3/MMP9/CAV1/MET/VTN/VEGFA/HBEGF/IL12B/WNT5A/AKT3/TWIST1/PLAU/SDC4/CDKN1A/WNT1/ELK1/SMO/RRAS2/CTSL/MYC/TLR2/RDX/THBS1/ITGAV/LUM/VAV1/WNT9A/MRAS/VAV2/ITGA2/CASP3/FZD6/IGF2/STAT3/FZD4/MAPK11/SRC/TNF/ITGB3/MIR21",45
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","15/1035","37/9434",3.28997615574906e-06,2.42727129713042e-05,1.65460789119543e-05,"FAS/ICAM1/APOL1/PLCB4/IFNG/IL12B/IL1B/IDO1/IL6/IL10/IL18/IL12A/MYD88/IDO2/TNF",15
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","64/1035","333/9434",4.3071500627946e-06,3.10863874097349e-05,2.11907840618041e-05,"FAS/IBSP/TNC/LAMA3/EIF2AK2/LAMC2/PALS1/PTGS2/PSEN1/LAMB1/JAG1/TRADD/ITGB8/VTN/NFKB1/VEGFA/WNT5A/HES1/STAT1/AKT3/CDKN1A/WNT1/IRF1/UBR4/TICAM1/LAMA5/CCNA1/COL4A2/OASL/THBS1/ITGAV/EGF/IFNAR1/ITGA10/WNT9A/NOTCH1/TCF7L2/MX1/JAK1/ITGA2/CASP3/TLR3/HEY1/FZD6/STAT2/PTGER4/IFNB1/RELA/FZD4/MX2/MAML2/ISG15/HES4/LAMA2/LAMB3/HLA-E/HLA-F/HLA-A/IRF9/ITGA1/PPP2R2A/TNF/ITGB3/IKBKE",64
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","52/1035","253/9434",4.78080543918755e-06,3.37707958683035e-05,2.30206756870173e-05,"RRAGD/CD44/BCAR1/CUL1/TAB2/PFN2/ACTN1/UBE2D1/ITPR3/NFKBIA/PLCB4/MAP1LC3A/TRADD/RIPK2/NFKBIB/NOD1/NFKB1/MAPK10/IL1R1/ARHGEF2/RRAGC/AKT3/FOXO3/IL1B/C3/RBCK1/TRAF2/H3-3B/RIPK1/CASP1/TIFA/TNIP1/IL18/HK2/SQSTM1/NLRP3/CSF2/CGAS/CXCL8/PRKCE/BCL2L1/BCL2/IFNB1/MYD88/RELA/JUN/MAPK11/FNBP1/CASP4/SRC/TNF/CCL5",52
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","45/1035","213/9434",9.90002183571535e-06,6.84751510303645e-05,4.66777345324298e-05,"FAS/TNFRSF1B/MAP2K3/CUL1/TAB2/ITPR3/NFKBIA/TRADD/NFKB1/MAPK10/GNB4/AKT3/PPP3CC/TRAF2/GNGT1/APOBEC3A/APOBEC3F/BST2/TRIM5/RIPK1/TLR2/AP1S3/CCR5/CASP3/CGAS/B2M/GNG4/TAP1/BCL2L1/BCL2/IFNB1/MYD88/RELA/JUN/APOBEC3B/LIMK2/MAPK11/CALM1/TAP2/HLA-E/HLA-F/HLA-A/TAPBP/TNF/APOBEC3G",45
"Human Diseases","Endocrine and metabolic disease","hsa04936","Alcoholic liver disease","34/1035","144/9434",1.04428336784078e-05,7.07555261475794e-05,4.82322071075763e-05,"FAS/MAP2K3/TAB2/CXCL2/ACOX3/NFKBIA/TRADD/PRKAG2/NFKB1/MAPK10/IL12B/AKT3/FOXO3/IL1B/C3/TICAM1/LBP/IL6/RIPK1/TCF7L2/CXCL3/CXCL1/CASP3/IL12A/CXCL8/IFNB1/MYD88/RELA/MAPK11/MAP3K5/CPT1B/C4B/TNF/IKBKE",34
"Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","17/1035","50/9434",1.23225736709851e-05,8.18218891753412e-05,5.57758597739326e-05,"ICAM1/CD40/MET/CSF3/CCL2/IFNG/IL1B/IL6/IL10/TLR2/THBS1/IL18/IL12A/CXCL8/MYD88/CR1L/TNF",17
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","43/1035","203/9434",1.45077979012295e-05,9.44429196707488e-05,6.43792889321845e-05,"BAIAP2L1/FAS/TAB2/NCK2/NFKBIA/TRADD/TJP1/TNFRSF10A/NFKBIB/NFKB1/MAPK10/SEC24A/IL1R1/ARHGEF2/TNFSF10/IL1B/TRAF2/MYO1B/ARHGEF11/MYH11/IL6/MYO1G/ABI1/TUBB2A/RIPK1/TUBB2B/CASP1/MYO10/IL18/CLDN14/NLRP3/CASP3/CASP7/CXCL8/MYD88/RELA/TUBB6/JUN/MAPK11/CASP4/SRC/LPAR1/TNF",43
"Human Diseases","Infectious disease: viral","hsa05166","Human T-cell leukemia virus 1 infection","46/1035","224/9434",1.71721221755612e-05,0.000109637395428583,7.47369689827055e-05,"NFKB2/ICAM1/NFKBIA/CD40/XIAP/RELB/JAK3/NFKB1/MAPK10/IL1R1/AKT3/SLC2A1/EGR1/PPP3CC/EGR2/CDKN1A/STAT5A/ELK1/ZFP36/CCNA1/IL2RA/IL15RA/ETS1/ESPL1/IL6/MYC/MMP7/CDKN2B/CDKN2A/ETS2/ADCY9/JAK1/MSX1/IL15/CSF2/B2M/BCL2L1/RELA/FOSL1/JUN/HLA-E/HLA-F/HLA-A/LTA/TNF/HLA-DOB",46
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","35/1035","157/9434",2.91600953705498e-05,0.000182663238924954,0.000124516792545545,"BCAR1/CAMK2A/PTGS2/SCARF1/JAK2/PANX1/DUSP16/SLC2A1/SGK1/DUSP4/PTGER2/IL10/CASP1/THBS1/CH25H/DUSP5/ITGAV/ADAM17/DUSP2/CASP3/ABCA1/CASP7/AXL/PTGER4/P2RY6/CEBPB/SPHK1/ADGRB1/GPR132/PLA2G6/DUSP8/ANO9/MAPK11/CPT1B/ITGB3",35
"Human Diseases","Immune disease","hsa05330","Allograft rejection","14/1035","39/9434",3.60205134746096e-05,0.000217863081172449,0.000148511612086482,"FAS/GZMB/CD40/IFNG/IL12B/CD80/IL10/IL12A/PRF1/HLA-E/HLA-F/HLA-A/TNF/HLA-DOB",14
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","21/1035","75/9434",3.60917754954358e-05,0.000217863081172449,0.000148511612086482,"FAS/AIFM2/CD82/GADD45B/TNFRSF10A/SERPINE1/PERP/GADD45A/GORAB/CDKN1A/GADD45G/SESN2/THBS1/PMAIP1/IGFBP3/CDKN2A/SESN3/CASP3/BCL2L1/BCL2/ADGRB1",21
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","49/1035","251/9434",3.75841224645253e-05,0.000222820154611115,0.000151890720486334,"BIRC3/MAP2K3/TAB2/PFN2/NFKBIA/TRADD/RIPK2/GSDMD/TNFRSF10A/NOD1/NFKB1/MAPK10/BIRC2/AKT3/TNFSF10/IL1B/TRAF2/SNX9/ARL8B/IL6/ABI1/TXN/MYC/TUBB2A/RIPK1/TUBB2B/TLR2/CASP1/CASP5/ARL8A/DYNLT1/TCF7L2/IL18/NLRP3/CASP3/DYNLT3/CASP7/HSP90B1/MLKL/RHOH/CXCL8/BCL2/MYD88/RELA/TUBB6/JUN/MAPK11/CASP4/TNF",49
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","15/1035","44/9434",3.84959765919708e-05,0.00022422217944797,0.000152846444455655,"FAS/GZMB/IFNG/IL12B/IL1A/CD80/IL1B/IL12A/PRF1/HLA-E/HLA-F/HLA-A/LTA/TNF/HLA-DOB",15
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","20/1035","70/9434",4.00447585846145e-05,0.000229221721553311,0.00015625450264414,"TNFRSF1B/ACSL4/JAK2/NFKBIA/TRADD/NFKBIB/PRKAG2/NFKB1/MAPK10/AKT3/SLC2A1/TRAF2/NFKBIE/ACSL1/STAT3/RELA/SOCS3/ACSL5/CPT1B/TNF",20
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","25/1035","100/9434",5.55829379796819e-05,0.000312771786597532,0.000213208415087094,"CD38/CD44/KITLG/TFRC/IL4R/CD59/IL7/CSF3/IL1A/IL1R1/IL1B/IL2RA/IL6/ITGA2/CSF2/ANPEP/IL7R/CSF1/IL3RA/CD55/CR1L/ITGA1/TNF/HLA-DOB/ITGB3",25
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","41/1035","203/9434",7.23392034226729e-05,0.000400276925605457,0.000272858398874994,"BIRC3/IBSP/TNC/BCAR1/LAMA3/LAMC2/ACTN1/LAMB1/PDGFB/XIAP/FLT1/ITGB8/CAV1/MET/VTN/MAPK10/BIRC2/VEGFA/AKT3/ELK1/RAP1B/LAMA5/EMP1/PDGFRA/COL4A2/THBS1/ITGAV/EGF/VAV1/ITGA10/VAV2/ITGA2/BCL2/JUN/LAMA2/LAMB3/SRC/PDGFA/EMP2/ITGA1/ITGB3",41
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","19/1035","71/9434",0.000162814176257179,0.000875625215861494,0.000596891000032407,"CXCL2/NFKBIA/TJP1/MET/NOD1/NFKB1/MAPK10/HBEGF/ADAM17/CXCL3/CXCL1/CASP3/CXCL8/RELA/JUN/MAPK11/SRC/LYN/CCL5",19
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","33/1035","157/9434",0.000163520371636785,0.000875625215861494,0.000596891000032407,"MAP2K3/TRAF3IP2/ITPR3/GADD45B/NBN/SERPINE1/NFKB1/IL1A/GADD45A/AKT3/FOXO3/PPP3CC/CDKN1A/GADD45G/CCNA1/RRAS2/ETS1/IL6/MYC/IGFBP3/CDKN2B/CDKN2A/MRAS/SQSTM1/CXCL8/RELA/MAPK11/KIR2DL4/CALM1/HLA-E/HLA-F/HLA-A/RASSF5",33
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","25/1035","110/9434",0.000284032313897059,0.00149680520974323,0.00102033329135953,"PFKP/CAMK2A/TFRC/EDN1/HMOX1/TIMP1/FLT1/SERPINE1/NFKB1/IFNG/VEGFA/AKT3/SLC2A1/CDKN1A/EGLN3/LDHA/IL6/EGF/IFNGR2/HK2/STAT3/PFKFB3/BCL2/LDHAL6B/RELA",25
"Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","13/1035","42/9434",0.000375378662464296,0.00194727681153354,0.00132740809917473,"GCLM/ACSL4/TFRC/HMOX1/MAP1LC3A/SLC39A14/SLC11A2/SAT1/SLC39A8/SLC7A11/ACSL1/FTH1/ACSL5",13
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","11/1035","32/9434",0.000383133844983645,0.00195692979283954,0.00133398828617787,"BIRC3/NGFR/XIAP/MAPK10/BIRC2/PMAIP1/BCL2L11/CASP3/CASP7/BCL2L1/BCL2",11
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","39/1035","205/9434",0.000393514509529835,0.00197949722975614,0.00134937192263022,"SCIN/HDAC9/EIF2AK2/TRAF1/SP100/ACTN1/NFKB2/NFKBIA/TRADD/JAK3/HPN/NFKB1/EGR2/CDKN1A/C3/STAT5A/TRAF2/UBR4/CCNA1/GTF2B/PMAIP1/CDKN2B/CDKN2A/RASA2/CCR5/JAK1/REL/CASP3/STAT3/RELA/JUN/H2BC4/IRF7/SRC/HLA-E/HLA-F/HLA-A/IRF9/LYN",39
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","29/1035","138/9434",0.000400211222897552,0.00198313620898488,0.00135185252039236,"MAP2K3/LCP2/BCAR1/TAB2/NFKBIA/MEFV/CCL2/NFKB1/MAPK10/AKT3/IL1B/TRAF2/TICAM1/IL6/IL10/CASP1/VAV1/IL18/VAV2/NLRP3/CXCL8/IFNB1/MYD88/RELA/RPS6KA3/JUN/MAPK11/SRC/TNF",29
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","21/1035","88/9434",0.000425178690512293,0.00207587243014825,0.00141506839721583,"TFPI/PLAUR/CD59/PROCR/PLAT/SERPINE1/VTN/F3/PLAU/C3/SERPINE2/SERPING1/C1R/F2RL2/C1S/CD55/SERPINA1/SERPINB2/CR1L/C4B/CFB",21
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","21/1035","89/9434",0.000500174652378214,0.00240663745781981,0.00164054233808262,"CD44/IBSP/TNC/LAMA3/LAMC2/LAMB1/ITGB8/VTN/SDC4/LAMA5/COL4A2/THBS1/ITGAV/FRAS1/ITGA10/ITGA2/AGRN/LAMA2/LAMB3/ITGA1/ITGB3",21
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","43/1035","238/9434",0.000636966403813247,0.00302104065808569,0.00205936506496012,"GAB2/KITLG/NGFR/PLD1/PDGFB/FLT1/PLA2G4C/MET/NFKB1/MAPK10/VEGFA/GNB4/PLA2G4A/AKT3/ELK1/RAP1B/GNGT1/AFDN/RRAS2/PDGFRA/ETS1/RAPGEF5/EGF/ABL2/RGL1/PLA1A/RASA2/ETS2/MRAS/REL/TGFA/IGF2/GNG4/EFNA1/BCL2L1/RASGRP1/RELA/EFNA5/CSF1/PLA2G6/PDGFA/CALM1/RASSF5",43
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","16/1035","61/9434",0.000668488869533115,0.00312589161528161,0.00213083924313743,"ATP2B1/HMOX1/SLC8A3/SLC11A2/SLC8A2/MT1G/MT2A/STEAP1/FTH1/MT1E/SLC26A9/HEPHL1/MT1X/MT1F/MT1A/MT1M",16
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","13/1035","45/9434",0.000785762859768511,0.00362323985337702,0.00246986863816126,"FAS/GZMB/IFNG/IL1A/CD80/IL1B/IL6/PRF1/HLA-E/HLA-F/HLA-A/TNF/HLA-DOB",13
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","12/1035","41/9434",0.00109286886089545,0.00497030769612724,0.00338812984992821,"TYMP/MMP9/VEGFA/HBEGF/CDKN1A/MYC/THBS1/EGF/CDKN2A/CXCL8/MMP1/SRC",12
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","18/1035","77/9434",0.00137906039389208,0.00618713582124554,0.00421761002399426,"PLD1/GADD45B/NFKB1/MAPK10/VEGFA/STAT1/GADD45A/AKT3/CDKN1A/GADD45G/EGF/BRCA2/CDKN2A/JAK1/TGFA/STAT3/BCL2L1/RELA",18
"Organismal Systems","Endocrine system","hsa04917","Prolactin signaling pathway","17/1035","71/9434",0.0014008432326327,0.00620106604312076,0.00422710589496184,"JAK2/NFKB1/MAPK10/PRLR/CISH/STAT1/AKT3/FOXO3/SOCS2/IRF1/STAT5A/STAT3/RELA/SOCS3/SOCS1/MAPK11/SRC",17
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","21/1035","99/9434",0.00213625464707694,0.00933205977407297,0.00636142311802691,"SCIN/GAB2/PLD1/HCK/PLA2G4C/PLA2G4A/AKT3/VAV1/MYO10/ASAP2/ASAP1/NCF1/VAV2/PLPP3/PRKCE/MARCKSL1/SPHK1/LIMK2/PLA2G6/LYN/MARCKS",21
"Human Diseases","Drug resistance: antineoplastic","hsa01521","EGFR tyrosine kinase inhibitor resistance","18/1035","80/9434",0.00218276531555914,0.00941140369825501,0.00641550981333173,"JAK2/PDGFB/MET/VEGFA/AKT3/FOXO3/PDGFRA/IL6/EGF/BCL2L11/JAK1/TGFA/AXL/STAT3/BCL2L1/BCL2/SRC/PDGFA",18
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","18/1035","81/9434",0.00252561064874831,0.0107500350690312,0.00732802010095662,"HSPA5/PSME2/IFNG/HSPA2/CTSL/B2M/TAP1/HSPA6/KIR2DL4/TAP2/HSPA1B/HSPA1A/HLA-E/HLA-F/HLA-A/TAPBP/TNF/HLA-DOB",18
"Organismal Systems","Immune system","hsa04662","B cell receptor signaling pathway","19/1035","91/9434",0.0040919005116437,0.0171963413907052,0.011722299933423,"DAPP1/NFKBIA/NFKBIB/LILRB1/LILRA1/NFKB1/AKT3/PPP3CC/LILRB2/VAV1/NFKBIE/PIK3AP1/VAV2/RELA/JUN/IFITM1/LILRB4/LILRA5/LYN",19
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","20/1035","99/9434",0.00485389180894773,0.0201436510071331,0.0137314044595232,"MAP2K3/CAMK2A/ITPR3/PLCB4/TRPA1/PLA2G4C/MAPK10/IL1R1/PLA2G4A/PTGER2/IL1B/CYP2J2/ADCY9/PRKCE/PTGER4/PLA2G6/MAPK11/IL1RAP/SRC/CALM1",20
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","35/1035","212/9434",0.00864690715124265,0.035441644126081,0.0241596496103596,"MAP2K3/LCP2/KITLG/BCAR1/NGFR/PFN2/PDGFB/PLCB4/FLT1/MET/RAPGEF2/VEGFA/AKT3/RAP1B/ADORA2A/DOCK4/AFDN/PDGFRA/RAPGEF5/THBS1/EGF/VAV1/MRAS/VAV2/ADCY9/EFNA1/EFNA5/CSF1/MAPK11/SRC/PDGFA/LPAR1/CALM1/ITGB3/RASSF5",35
"Organismal Systems","Environmental adaptation","hsa04710","Circadian rhythm","9/1035","34/9434",0.00923147955875442,0.0373762343110545,0.02547840956524,"CUL1/RORA/PRKAG2/BHLHE41/NR1D1/BHLHE40/NFIL3/PER1/RORB",9
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","24/1035","133/9434",0.00948528644835131,0.0379411457934052,0.0258634950715984,"GADD45B/PRKAG2/MAPK10/BCL6/GADD45A/AKT3/SGK1/FOXO3/TNFSF10/CDKN1A/GADD45G/IL6/IL10/EGF/PLK2/CDKN2B/HOMER1/BCL2L11/DEPP1/STAT3/IL7R/PLK3/MAPK11/SOD2",24
"Organismal Systems","Development and regeneration","hsa04360","Axon guidance","31/1035","184/9434",0.0097530386780631,0.0385477242990113,0.0262769839070622,"SEMA3B/NTN1/NGEF/CAMK2A/NCK2/SEMA3A/SEMA3C/MET/WNT5A/PLXNA1/PPP3CC/EFNB2/SMO/SEMA6D/SEMA7A/BOC/SEMA3D/SEMA4C/EFNA1/ROBO1/RND1/ABLIM3/UNC5C/LIMK2/EFNA5/SEMA4B/SRGAP1/SRC/L1CAM/BMPR2/SRGAP2",31
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","24/1035","134/9434",0.0103919731024525,0.0405898243531086,0.0276690305514215,"FAS/LCP2/ICAM1/GZMB/TNFRSF10A/IFNG/CD48/PPP3CC/TNFSF10/ULBP2/VAV1/IFNAR1/IFNGR2/VAV2/CASP3/CSF2/IFNB1/PRF1/KIR2DL4/NCR1/MICB/HLA-E/HLA-A/TNF",24
"Environmental Information Processing","Signal transduction","hsa04012","ErbB signaling pathway","17/1035","86/9434",0.0111733873459931,0.0431344720798804,0.0294036509105082,"CAMK2A/NCK2/AREG/MAPK10/HBEGF/AKT3/CDKN1A/EREG/STAT5A/ELK1/MYC/EGF/ABL2/TGFA/BTC/JUN/SRC",17
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","17/1035","87/9434",0.0125124642554165,0.0477487141700951,0.0325490600715613,"GADD45B/AREG/MAPK10/GADD45A/AKT3/CDKN1A/EREG/GADD45G/MYC/EGF/PMAIP1/TCF7L2/BCL2L11/TGFA/CASP3/BCL2/JUN",17
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","22/1035","122/9434",0.012743147563214,0.0480764203521255,0.0327724488766867,"LCP2/NCK2/NFKBIA/NFKBIB/MAP3K8/NFKB1/MAPK10/IFNG/AKT3/PPP3CC/IL10/VAV1/NFKBIE/VAV2/ICOS/CSF2/RASGRP1/RELA/JUN/MAPK11/PPP2R2A/TNF",22
"Metabolism","Glycan biosynthesis and metabolism","hsa00533","Glycosaminoglycan biosynthesis - keratan sulfate","5/1035","14/9434",0.0135031678108033,0.0503713675638956,0.0343368548707595,"ST3GAL1/B4GALT1/B3GNT7/B3GNT2/CHST2",5
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","14/1035","68/9434",0.0143436712673208,0.0529122095638944,0.0360688809646078,"PIM2/NFKB1/AKT3/STAT5A/CCNA1/MYC/PIM1/BCL2A1/PML/TCF7L2/RUNX1/CSF2/STAT3/RELA",14
"Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","13/1035","63/9434",0.0176014938058125,0.0642164389398875,0.0437746809514135,"GADD45B/GLI3/WNT5A/GADD45A/CDKN1A/WNT1/BMP2/SMO/GADD45G/WNT9A/TCF7L2/FZD6/FZD4",13
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","14/1035","70/9434",0.0183145459778623,0.066091622441851,0.0450529449112174,"ICAM1/CD40/CAV1/CD80/SSPN/ABL2/CASP3/PRF1/CD55/LAMA2/HLA-E/HLA-F/HLA-A/HLA-DOB",14
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","13/1035","64/9434",0.0199438005785027,0.0711972235705688,0.0485333007852641,"AFF4/ELL/ELL2/APOBEC3A/APOBEC3F/BST2/TRIM5/FEZ1/MX1/CCR5/APOBEC3B/MX2/APOBEC3G",13
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","26/1035","157/9434",0.0207646172938676,0.0729109928131954,0.0497015328308086,"BIRC3/PALS1/SMAD7/STK3/SERPINE1/AREG/BIRC2/WNT5A/ID2/CCN2/WNT1/BMP2/MYC/FRMD6/NKD1/TP53BP2/WNT9A/TCF7L2/LATS2/SAV1/BMP6/FZD6/FZD4/TEAD1/BMPR2/PPP2R2A",26
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","19/1035","106/9434",0.0208815258965839,0.0729109928131954,0.0497015328308086,"PDGFB/NFKBIA/MMP9/PLAT/NFKB1/AKT3/PLAU/CDKN1A/PDGFRA/EGF/TCF7L2/MMP3/ERG/TGFA/HSP90B1/NKX3-1/BCL2/RELA/PDGFA",19
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","47/1035","319/9434",0.0210826967170686,0.0729109928131954,0.0497015328308086,"VIM/CD44/TNC/PTGS2/FSCN1/HMOX1/PDGFB/MMP9/MET/EZH2/NFKB1/VEGFA/FOXP1/GLS/PLAU/CDKN1A/SOX4/PDGFRA/MYC/PIM1/RDX/THBS1/SLC7A1/MCL1/CDKN2A/NOTCH1/HMGA2/BCL2L11/CASP3/DDIT4/STAT3/EFNA1/ZFPM2/PRKCE/BCL2/EFNA5/SOCS1/PDGFA/BMPR2/MIR222/MIR27A/MIR221/ITGB3/MARCKS/MIR146A/MIR155/MIR21",47
"Organismal Systems","Endocrine system","hsa04912","GnRH signaling pathway","17/1035","93/9434",0.0233847104630252,0.0800383904507668,0.0545600949490008,"MAP2K3/CAMK2A/PLD1/ITPR3/PLCB4/PLA2G4C/MAPK10/HBEGF/PLA2G4A/EGR1/ELK1/MMP14/ADCY9/JUN/MAPK11/SRC/CALM1",17
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","14/1035","73/9434",0.0257642063126662,0.087282821385767,0.0594984356307543,"GADD45B/JAK3/MET/GADD45A/AKT3/FOXO3/CDKN1A/STAT5A/GADD45G/EGF/CDKN2A/TGFA/STAT3/RASSF5",14
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","7/1035","28/9434",0.0281733669646537,0.0944803821440911,0.0644048261286607,"B4GALT1/ST3GAL4/GCNT2/A4GALT/B3GNT2/B3GNT5/FUT4",7
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","19/1035","110/9434",0.0297253809707845,0.0986882648230046,0.0672732306180913,"CUL1/TFRC/BAMBI/SMAD7/HAMP/IFNG/ID2/INHBA/BMP2/ACVR1B/SKIL/MYC/LRRC32/THBS1/CDKN2B/BMP6/GREM1/BMPR2/TNF",19
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","11/1035","54/9434",0.0302645173557093,0.0994219735761231,0.0677733808461207,"FAS/TG/GZMB/CD40/CD80/IL10/PRF1/HLA-E/HLA-F/HLA-A/HLA-DOB",11
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","27/1035","170/9434",0.030545305134833,0.0994219735761231,0.0677733808461207,"NEDD4L/ACTN1/PALS1/TJP1/PRKAG2/MAPK10/RAPGEF2/AMOTL2/ARHGEF2/TJP2/RAP2C/CGNL1/AFDN/MYH11/RDX/CGN/RAB13/WHAMM/RUNX1/CLDN14/RAB8B/PRKCE/SYNPO/JUN/SRC/MAP3K5/PPP2R2A",27
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","23/1035","140/9434",0.0308764729789815,0.0995241653303094,0.0678430423145736,"ITPR3/SLC8A3/PLCB4/JAG1/MAP1LC3A/PLAT/SERPINE1/PRKAG2/GNB4/AKT3/SLC8A2/CCN2/EGR1/GNGT1/RRAS2/PIK3R5/ADCY10/MRAS/ADCY9/GNG4/PRKCE/SPHK1/CALM1",23
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","27/1035","171/9434",0.0326307692212483,0.104167455590908,0.0710082528600039,"HSPA5/CUL1/UBE2D1/DNAJA1/ERO1B/PPP1R15A/XBP1/DNAJC3/SEC61B/MAPK10/SEC24A/NFE2L2/FBXO6/RRBP1/TRAF2/SELENOS/SEC61G/EDEM1/CKAP4/HYOU1/HSP90B1/BCL2/HSPA6/ERN1/MAP3K5/HSPA1B/HSPA1A",27
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","4/1035","12/9434",0.0346795489358597,0.108447721383028,0.073925999040428,"NGFR/SLAMF1/NPC1/NCAM1",4
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","12/1035","62/9434",0.0349708493444686,0.108447721383028,0.073925999040428,"PSEN1/DTX2/JAG1/HES1/DLL4/NOTCH1/ADAM17/DTX3L/HEY1/MAML2/TLE1/DLL1",12
