GeneName,GeneID,A549_Bacteria_Spn,A549_Virus_IAV,A549_Virus_RSV,A549_Virus_SARSCoV2,B_cell_Protozoa_Pf,B_cell_Virus_EBV,B_cell_Virus_HBV,Dendritic_Bacteria_Bpe,Dendritic_Bacteria_MTB,Dendritic_Bacteria_Sau,Dendritic_Protozoa_Pf,Dendritic_Virus_HBV,Liver_Virus_HBV,Macrophages_Bacteria_Lmo,Macrophages_Bacteria_MTB,Macrophages_Bacteria_NTHi,Macrophages_Bacteria_SalEn,Macrophages_Bacteria_SalTy,Macrophages_Fungi_Af,Macrophages_Virus_IAV,Macrophages_Virus_SARSCoV2,Monocyte_Bacteria_Lmo,Monocyte_Virus_RSV,PBMCs_Fungi_Af,PBMCs_Protozoa_Pf,T_cell_Virus_HBV,T_cell_Virus_HIV1,hSAEC_Virus_RSV,Huh.7_Virus_HCV
ENSG00000262877,ENSG00000262877.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/
ENSG00000262879,ENSG00000262879.7,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,Down,Down,/,/,/,Down,/,/,/,/,/,Down,/
ENSG00000262880,ENSG00000262880.1,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,Down,/,/,Up,/,/,/,/,/,/,Up,/
ENSG00000262881,ENSG00000262881.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262884,ENSG00000262884.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,Up,/
ENSG00000262885,ENSG00000262885.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262898,ENSG00000262898.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/
ENSG00000262899,ENSG00000262899.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up
MTCO1P40,ENSG00000262902.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CTNS-AS1,ENSG00000262903.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
TMPOP2,ENSG00000262904.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262905,ENSG00000262905.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CCNQ,ENSG00000262919.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262920,ENSG00000262920.5,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262921,ENSG00000262921.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ALOX12P2,ENSG00000262943.10,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
ENSG00000262950,ENSG00000262950.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
EIF4A1P9,ENSG00000262953.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPL23AP86,ENSG00000262959.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262961,ENSG00000262961.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
KARS1P3,ENSG00000262962.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262966,ENSG00000262966.2,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262967,ENSG00000262967.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262974,ENSG00000262974.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262979,ENSG00000262979.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,Up,/,/,/,/,Up,/
OR52L2P,ENSG00000262980.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262983,ENSG00000262983.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262990,ENSG00000262990.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262995,ENSG00000262995.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000262999,ENSG00000262999.1,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
GTF2I,ENSG00000263001.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
ZNF234,ENSG00000263002.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/,/,/,/,/,/,/
AKAP1-DT,ENSG00000263004.3,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/
ROCK1P1,ENSG00000263006.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up
ENSG00000263011,ENSG00000263011.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263015,ENSG00000263015.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263017,ENSG00000263017.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263020,ENSG00000263020.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263029,ENSG00000263029.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263033,ENSG00000263033.2,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263041,ENSG00000263041.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263045,ENSG00000263045.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DPH1-AS1,ENSG00000263050.1,/,/,/,/,/,/,/,Up,/,/,Up,/,/,Up,/,/,/,Up,/,/,Up,Up,/,Up,/,/,/,/,/
ENSG00000263051,ENSG00000263051.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263063,ENSG00000263063.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263065,ENSG00000263065.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
RNF213-AS1,ENSG00000263069.6,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,/,/,Up,/,Up,/,/,/,Up,Up,/,/,/,/,Up,/
ENSG00000263070,ENSG00000263070.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ZNF213-AS1,ENSG00000263072.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263080,ENSG00000263080.1,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down
ENSG00000263081,ENSG00000263081.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263089,ENSG00000263089.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,Down,/
ENSG00000263096,ENSG00000263096.1,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Down,/
ENSG00000263098,ENSG00000263098.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263105,ENSG00000263105.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263107,ENSG00000263107.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263110,ENSG00000263110.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263120,ENSG00000263120.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ARL2BPP8,ENSG00000263125.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263126,ENSG00000263126.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LRRC37A17P,ENSG00000263142.6,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,Down,/,/,/,Down,/,/,/,/,/,Down,/
LINC01896,ENSG00000263146.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263154,ENSG00000263154.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MYZAP,ENSG00000263155.6,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,Down,Down
ENSG00000263159,ENSG00000263159.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263164,ENSG00000263164.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
ENSG00000263165,ENSG00000263165.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,Up,/
ENSG00000263167,ENSG00000263167.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263171,ENSG00000263171.1,/,/,/,/,/,/,/,/,Down,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up
ENSG00000263176,ENSG00000263176.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
MTND1P8,ENSG00000263177.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
HNRNPCP4,ENSG00000263179.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263189,ENSG00000263189.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MTND3P13,ENSG00000263196.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263199,ENSG00000263199.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DPEP2NB,ENSG00000263201.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
KYNUP3,ENSG00000263206.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263207,ENSG00000263207.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263212,ENSG00000263212.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
ENSG00000263218,ENSG00000263218.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
RYKP1,ENSG00000263219.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263220,ENSG00000263220.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ATP5F1AP3,ENSG00000263232.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263234,ENSG00000263234.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263235,ENSG00000263235.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263237,ENSG00000263237.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MTCYBP33,ENSG00000263241.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263244,ENSG00000263244.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263252,ENSG00000263252.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263253,ENSG00000263253.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263257,ENSG00000263257.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RPS7P1,ENSG00000263266.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
ENSG00000263271,ENSG00000263271.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,/,/
ENSG00000263272,ENSG00000263272.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
ENSG00000263276,ENSG00000263276.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,Down,Down,/,/,Down,Down,/,/,/,/,/,Down,/
ENSG00000263278,ENSG00000263278.2,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263279,ENSG00000263279.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263280,ENSG00000263280.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Up,/,/,/,/,Down,/
EFCAB13-DT,ENSG00000263293.3,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,/,/
ENSG00000263300,ENSG00000263300.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263301,ENSG00000263301.1,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,Down,/,/,Up,/,/,/,/,/,/,/,Down
ENSG00000263305,ENSG00000263305.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RSL1D1-DT,ENSG00000263307.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263311,ENSG00000263311.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC01975,ENSG00000263312.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263316,ENSG00000263316.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC01982,ENSG00000263317.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263321,ENSG00000263321.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263325,ENSG00000263325.1,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
ENSG00000263326,ENSG00000263326.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TAPT1-AS1,ENSG00000263327.6,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
ENSG00000263331,ENSG00000263331.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263335,ENSG00000263335.1,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/
ENSG00000263338,ENSG00000263338.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263342,ENSG00000263342.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,Up,/,/,/,/,/,/,/,Down
ENSG00000263343,ENSG00000263343.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SGSM2-AS1,ENSG00000263345.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,/
PPIAL4A,ENSG00000263353.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR5011,ENSG00000263354.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
AKR1B10P2,ENSG00000263355.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RN7SL134P,ENSG00000263360.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR378H,ENSG00000263361.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR5702,ENSG00000263363.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ABHD17AP5,ENSG00000263366.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
MSANTD3P1,ENSG00000263368.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
ENSG00000263369,ENSG00000263369.7,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263370,ENSG00000263370.1,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR548AO,ENSG00000263372.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263375,ENSG00000263375.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR5584,ENSG00000263381.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263382,ENSG00000263382.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263388,ENSG00000263388.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR3973,ENSG00000263389.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR3119-2,ENSG00000263390.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263393,ENSG00000263393.1,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/
ENSG00000263394,ENSG00000263394.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263396,ENSG00000263396.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR3170,ENSG00000263399.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TMEM220-AS1,ENSG00000263400.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Up,/,/,/,/,/,/,/,/
MIR4673,ENSG00000263403.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PA2G4P3,ENSG00000263405.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR4660,ENSG00000263407.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR4747,ENSG00000263409.1,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RN7SL460P,ENSG00000263410.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NFE2L1-DT,ENSG00000263412.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/
MIR4538,ENSG00000263413.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
MIR3187,ENSG00000263414.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
GTSCR1,ENSG00000263417.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Down,/,/,/,/,/,/
ENSG00000263424,ENSG00000263424.1,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
RN7SL471P,ENSG00000263426.2,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263427,ENSG00000263427.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
TMEM238L,ENSG00000263429.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RN7SL689P,ENSG00000263432.2,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263433,ENSG00000263433.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263435,ENSG00000263435.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR3158-1,ENSG00000263436.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LINC01919,ENSG00000263438.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR4753,ENSG00000263439.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263443,ENSG00000263443.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR4450,ENSG00000263445.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263450,ENSG00000263450.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263453,ENSG00000263453.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR5189,ENSG00000263456.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR4455,ENSG00000263458.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
BOD1P1,ENSG00000263460.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SRSF8,ENSG00000263465.5,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
ENSG00000263466,ENSG00000263466.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/
MIR3130-2,ENSG00000263468.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MIR3156-1,ENSG00000263476.1,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ENSG00000263477,ENSG00000263477.1,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
RN7SL509P,ENSG00000263479.2,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ANTXRLP1,ENSG00000263482.3,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/
